Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y Historical Revenue Growth,1Y Forward Revenue Growth,Total Revenue,PBT,Taxes & Other Items,DII Holding Change,FII Holding Change,MF Holding Change,Promoter Holding Change,Percentage Buy Record,No. of analysts with buy reco,Percentage Upside
Cranes Software International Ltd,CRANESSOFT,NULL,39.9,3.41,-2.66,-27.17,NULL,71.35,30.93,45.93,0,0,0,0,NULL,0,NULL
Vaxtex Cotfab Ltd,VCL,Textiles,39.88,7.95,26.95,69.44,NULL,62.29,2.01,0.53,0,-0.01,0,-1.96,NULL,0,NULL
Five Core Electronics Ltd,FIVECORE,Electronic Equipments,39.88,31.7,2.84,31.45,NULL,335.95,17.52,3.49,NULL,NULL,NULL,NULL,NULL,0,NULL
Laxmi Cotspin Ltd,LAXMICOT,Textiles,39.76,23.3,7.28,13.64,NULL,217.6,8.1,2.64,0,0,0,0.01,NULL,0,NULL
Riba Textiles Ltd,RIBATEX,Textiles,39.75,40.45,8.13,15.58,NULL,235.08,6.75,1.86,0,0,0,0,NULL,0,NULL
Sanrhea Technical Textiles Ltd,SANTETX,NULL,39.73,88,8.87,20.92,NULL,68.58,6.26,1.78,0,0,0,0,NULL,0,NULL
Punjab Communications Ltd,PUNJCOMMU,Telecom Equipments,39.6,32.1,-3.17,-12.79,NULL,18.67,-13.22,-0.73,0,0,0,0,NULL,0,NULL
Axel Polymers Ltd,AXELPOLY,Commodity Chemicals,39.54,45.2,42.98,27.03,NULL,73.47,1.35,0.43,0,0,0,0,NULL,0,NULL
Binny Mills Ltd,BINNYMILLS,NULL,39.53,124.05,-3.52,-2.27,NULL,8.64,-10.32,0.91,0,0,0,0,NULL,0,NULL
Raw Edge Industrial Solutions Ltd,RAWEDGE,Mining - Diversified,39.41,40.1,-69.14,-1.65,NULL,44.74,-0.75,-0.18,0,0,0,0,NULL,0,NULL
Relicab Cable Manufacturing Ltd,RELICAB,Cables,39.37,39,178.95,12.32,NULL,33.71,0.39,0.17,NULL,NULL,NULL,NULL,NULL,0,NULL
UTI Bank ETF,UTIBANKETF,Equity,39.2,43.49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
